[16:47:16] [48/216] expand_10k 0.01 s2 compiled_time_step: 21.3 us/step, peak RSS 168 MiB, ac 46% (0.5s)
[16:47:17] [49/216] expand_50k 1e-05 s3 numpy_time_step: 307.0 us/step, peak RSS 159 MiB, ac 46% (0.7s)
[16:47:17] [50/216] expand_1k 0.0001 s2 numpy_time_step: 3.6 us/step, peak RSS 90 MiB, ac 46% (0.4s)
[16:47:20] [51/216] expand_50k 0.5 s3 compiled_event_driven: 2341.0 us/step, peak RSS 312 MiB, ac 47% (2.9s)
[16:47:21] [52/216] expand_50k 0.1 s3 compiled_event_driven: 803.5 us/step, peak RSS 235 MiB, ac 47% (1.3s)
[16:47:22] [53/216] expand_10k 0.001 s3 numpy_event_driven: 286.7 us/step, peak RSS 106 MiB, ac 47% (0.7s)
[16:47:22] [54/216] expand_1k 0.0001 s1 compiled_time_step: 0.6 us/step, peak RSS 155 MiB, ac 47% (0.5s)
[16:47:23] [55/216] expand_10k 0.0001 s2 compiled_time_step: 6.4 us/step, peak RSS 168 MiB, ac 47% (0.5s)
[16:47:23] [56/216] expand_1k 0.01 s3 numpy_time_step: 12.9 us/step, peak RSS 90 MiB, ac 47% (0.4s)
[16:47:24] [57/216] expand_10k 0.001 s3 compiled_event_driven: 20.5 us/step, peak RSS 168 MiB, ac 47% (0.6s)
[16:47:27] [58/216] expand_10k 0.5 s3 numpy_event_driven: 2345.6 us/step, peak RSS 173 MiB, ac 47% (2.7s)
[16:47:28] [59/216] expand_50k 0.01 s2 numpy_time_step: 598.1 us/step, peak RSS 170 MiB, ac 47% (1.0s)
[16:47:30] [60/216] expand_50k 0.001 s3 numpy_event_driven: 1938.3 us/step, peak RSS 167 MiB, ac 47% (2.3s)
[16:47:30] [61/216] expand_1k 0.0001 s2 compiled_event_driven: 0.1 us/step, peak RSS 156 MiB, ac 47% (0.5s)
[16:47:31] [62/216] expand_50k 0.01 s1 numpy_time_step: 591.4 us/step, peak RSS 164 MiB, ac 47% (1.0s)
[16:47:32] [63/216] expand_1k 0.01 s3 compiled_event_driven: 2.2 us/step, peak RSS 156 MiB, ac 47% (0.5s)
[16:47:32] [64/216] expand_10k 1e-05 s1 compiled_event_driven: 0.3 us/step, peak RSS 168 MiB, ac 47% (0.5s)
[16:47:33] [65/216] expand_1k 0.5 s3 compiled_time_step: 11.6 us/step, peak RSS 157 MiB, ac 47% (0.5s)
[16:47:33] [66/216] expand_1k 0.001 s2 numpy_event_driven: 23.9 us/step, peak RSS 92 MiB, ac 47% (0.4s)
[16:47:34] [67/216] expand_1k 0.5 s2 compiled_event_driven: 31.8 us/step, peak RSS 158 MiB, ac 47% (0.6s)
[16:47:35] [68/216] expand_50k 0.1 s2 compiled_event_driven: 857.1 us/step, peak RSS 235 MiB, ac 47% (1.4s)
[16:47:36] [69/216] expand_10k 0.1 s3 compiled_event_driven: 127.8 us/step, peak RSS 172 MiB, ac 47% (0.6s)
[16:47:37] [70/216] expand_50k 0.001 s3 compiled_event_driven: 184.8 us/step, peak RSS 216 MiB, ac 47% (0.7s)
[16:47:37] [71/216] expand_1k 1e-05 s3 numpy_time_step: 2.4 us/step, peak RSS 90 MiB, ac 47% (0.4s)
[16:47:38] [72/216] expand_50k 0.001 s2 compiled_event_driven: 213.0 us/step, peak RSS 217 MiB, ac 47% (0.7s)
[16:47:38] [73/216] expand_1k 0.001 s2 compiled_time_step: 0.7 us/step, peak RSS 155 MiB, ac 47% (0.5s)
[16:47:39] [74/216] expand_1k 0.5 s1 compiled_time_step: 11.7 us/step, peak RSS 157 MiB, ac 47% (0.5s)
[16:47:39] [75/216] expand_50k 0.001 s1 compiled_event_driven: 189.6 us/step, peak RSS 216 MiB, ac 47% (0.7s)
[16:47:40] [76/216] expand_50k 0.001 s2 numpy_time_step: 351.5 us/step, peak RSS 157 MiB, ac 47% (0.7s)
[16:47:41] [77/216] expand_1k 0.01 s1 numpy_event_driven: 52.1 us/step, peak RSS 91 MiB, ac 47% (0.4s)
[16:47:42] [78/216] expand_10k 0.1 s1 numpy_event_driven: 1091.8 us/step, peak RSS 125 MiB, ac 47% (1.5s)
[16:47:43] [79/216] expand_1k 0.5 s3 numpy_time_step: 63.8 us/step, peak RSS 93 MiB, ac 47% (0.4s)
[16:47:49] [80/216] expand_50k 0.1 s3 numpy_event_driven: 5738.0 us/step, peak RSS 263 MiB, ac 47% (6.1s)
[16:47:49] [81/216] expand_50k 0.0001 s3 numpy_time_step: 337.0 us/step, peak RSS 154 MiB, ac 47% (0.8s)
[16:47:50] [82/216] expand_1k 0.001 s3 compiled_time_step: 0.7 us/step, peak RSS 155 MiB, ac 47% (0.5s)
