[13:55:00] calibrating expand_100
[13:55:19]   expand_50k gain 0.2044: ['STABLE', 'STABLE', 'STABLE']
[13:55:21]   expand_50k gain 0.3: ['STABLE', 'STABLE', 'STABLE']
[13:55:25]   expand_50k gain 0.4403: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:29]   expand_50k gain 0.6463: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:33]   expand_50k gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:38]   expand_50k gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:43]   expand_50k gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:48]   expand_50k gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:48] expand_50k: stable gains [0.020438762071738843, 0.3000000000000001] -> baseline 0.07830471647047613
[13:55:48] calibrating neuropil_PB
[13:55:48]   neuropil_PB gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[13:55:48]   neuropil_PB gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.02044: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.03: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.04403: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.06463: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.09487: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.1392: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.2044: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.3: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.4403: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.6463: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 0.9487: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 1.392: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 2.044: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_PB gain 3: ['DEAD', 'DEAD', 'DEAD']
[13:55:49] neuropil_PB: stable gains None -> baseline None
[13:55:49] calibrating neuropil_SPS_R
[13:55:49]   neuropil_SPS_R gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.02044: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_SPS_R gain 0.03: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.04403: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.06463: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.09487: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.1392: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.2044: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.3: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.4403: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.6463: ['STABLE', 'STABLE', 'STABLE']
[13:55:49]   neuropil_SPS_R gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:49]   neuropil_SPS_R gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:49]   neuropil_SPS_R gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:49]   neuropil_SPS_R gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:49] neuropil_SPS_R: stable gains [0.030000000000000013, 0.6463304070095649] -> baseline 0.13924766500838337
[13:55:49] calibrating neuropil_LO_R
[13:55:49]   neuropil_LO_R gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_LO_R gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[13:55:49]   neuropil_LO_R gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.02044: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.03: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.04403: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.06463: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.09487: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.1392: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.2044: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.3: ['DEAD', 'DEAD', 'DEAD']
[13:55:50]   neuropil_LO_R gain 0.4403: ['STABLE', 'STABLE', 'STABLE']
[13:55:51]   neuropil_LO_R gain 0.6463: ['STABLE', 'STABLE', 'STABLE']
[13:55:51]   neuropil_LO_R gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:51]   neuropil_LO_R gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:52]   neuropil_LO_R gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:52]   neuropil_LO_R gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:52] neuropil_LO_R: stable gains [0.44033978028662085, 0.6463304070095649] -> baseline 0.5334838230116767
